

type,name,geom,id
SportFields,"TLU football fields",01030000000100000005000000ED82486E39786641A67002C515414241E34DE2FB3C786641F61EAAF4314142418F236C6B487866417EEF4C061B41424123490A04457866419232C53DFE404241ED82486E39786641A67002C515414241,31
SportFields,"SVD Kim Lien",01030000000100000005000000716BBE41C57866410D6D67B697414241C63E267FC97866414AC067E1A64142415CB5DDA1CE786641BC4A576D90414241F71FD15CCA78664168B1A3BC81414241716BBE41C57866410D6D67B697414241,32
SportFields,"SVD Kim Lien",010300000001000000050000003EE2EB86CB7866415AC2B53E8441424140505FD7CE786641415B7DAA90414241CED4942BD178664109CB34A28641424173BCD7CBCD7866410B34B3DA794142413EE2EB86CB7866415AC2B53E84414241,33
River,"Lu river",010200000004000000DB0C679E897866413612F1613F414241B67282618D78664136FAC19415414241E23462FA8D78664188903AF7074142412F7B8BA28E786641AE2E5A33F8404241,34
Road,"Pham Ngoc Thach",0102000000040000000B36233A7B7866414D67C05B1A414241B93A679E89786641C2D6A0754841424175C04501A0786641DDFBCBA196414241E57FCED7A878664149E95707B9414241,35
Lake,"Khuong Thuong Lake",0103000000010000000F0000009E5E25961778664177B591B479404241E35641A91778664115F8B86C8540424102FE028518786641B5AC06198B404241BE21A0A51A7866418206DA97964042414CBC6D191E786641B5389EFF9F4042417A9A06E62078664123BB27449C4042410E51909B21786641B555F8C59A4042417F0B8C472278664189B072F394404241123439E3217866413D2B184B914042411EC17A862078664106A487B588404241D83A82591F786641CBC72AF280404241C903AB681D78664148BB3FB4744042414EF580131B78664178EF45416F4042413215AF4B18786641E5371BF9754042419E5E25961778664177B591B479404241,36
"Bus stop","Bus stop",010100000010F4B5BC677866415BB621CF4D404241,37
ATM,"BIDV ATM ",0101000000E60D0F3FAA786641E2C1155FE83F4241,38
Lake,"Ho Me Lake",0103000000010000000A000000B7E7E6EE6078664125D35A33E43F4241A53EE90965786641E3473A1B0D40424196CD5D8C6D78664125253E8D03404241D1C6141670786641160BC162FC3F42417298BC8870786641F2F27925FA3F4241C4ABF658707866417D000C12F53F42418D070CFD6C786641B0E0EC1FDF3F424123F7A8AC6A786641763E44E9CC3F4241F0C4E4446178664167B05EA5DA3F4241B7E7E6EE6078664125D35A33E43F4241,39
"Bus stop","Bus stop",0101000000C4E5AAE565786641CBD507EF26404241,40
Road,"Ton That Tung street",0102000000030000002187C7EB5C78664140C34CC1D63F4241A8E87E576878664197C94DE74A404241EA6E74766E78664187DF2E5797404241,41
Road,"Ton That Tung street",0102000000020000005F7E3C506E786641453CDF71964042411A86203D6E7866419DC09EA397404241,42
Building,"Thu vien DH Y ",01030000000100000005000000D8E2D0576D786641AC81CAFF3D4042416C995A0D6E78664103CCD5A44940424185B23CC172786641D07CB77645404241F1FBB20B72786641C27F941239404241D8E2D0576D786641AC81CAFF3D404241,43
Lake,"Nam Dong Lake",0103000000010000000E000000A053596A64786641C2A6EED981424241ED9982126578664135997C5B7C42424175439B95777866412F641CA550424241DFBDBE9286786641B3ED79E98542424137A7C1FD86786641C107F7138D424241162378EE86786641A2950D33954242412577A9A583786641C25D156DA0424241870E70B47B7866412E4BA1D2C2424241C91603D37B786641CE9AAB45C94242415B4C901B7B786641A3035B59D24242418B894E1B77786641BEAC8797E2424241C950B75F7178664143BDADD4E2424241ED20152A6F786641E943D883D9424241A053596A64786641C2A6EED981424241,44
Road,"Ton That Tung street",010200000003000000F0D30E546E7866410EA34EBE964042416FC05D32797866414B4B5FFB0C4142419A823DCB79786641AA5C5DC211414241,45
